"영화명","누적매출액","누적관객수","스크린수","상영횟수","개봉일","배급사","등급","장르","감독","배우","제작사","개봉일스크린수","개봉일관객수","스크린수증가율"
"7호실",2679844639,348017,629,21854,"2017-11-15","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디","이용승","신하균,도경수,김동영,김종수,김종구,박수영,전석호,황정민,정희태,김도윤,정승길,박소영,조민성,윤세현,이광기,이재혁,김성종,우지현,박근록,최무성,김지영,이서환,박신아","(주)명필름",629,55985,0
"82년생 김지영",30298542310,3678156,1486,145441,"2019-10-23","롯데컬처웍스(주)롯데엔터테인먼트","12세이상관람가","드라마","김도영","이시영,정유미,공유,김미경,공민정,박성연,이봉련,김성철,이얼,전국향,박세현,김미경,손성찬,강애심,김정영,예수정,염혜란,김해나,어성욱,권귀빈,류아영,김하연,강별,기소유,이나윤,유준후,김용준,이지혜,우지현,이성욱,김지수,윤서진,김미지,이재인,이주원,원춘규,김해나,정준,김금순,윤사봉,정형석,손규원,신태양,최희진,박수진,김국희,정선아,김선미,이음,이승용,조백한,오해주,오일영,우도임,구재연,정태성,허태경,권지숙,백효성,김철진,김규도,김영표,김성태,김지우,송윤,이해운,최수빈,김남진,김선혜,주인영,조예린,고재원,천문정,정선아,김정원,예수정,염혜란","(주)봄바람영화사",1354,138761,9.74889217134417
"B형 남자친구",7324579000,1174581,167,20316,"2005-02-03","롯데쇼핑㈜롯데엔터테인먼트","12세관람가","코미디","최석원","이동건,한지혜,김꽃비,김정우,강기화,최석주,최성은,이진환,이현진,김준수,이용주,김해곤,박현영,신이","(주)시네마제니스",157,73333,6.36942675159236
"GP 506",6316842000,936945,355,35830,"2008-04-03","(주)쇼박스","청소년관람불가","공포(호러),미스터리,스릴러","공수창","천호진,조현재,이영훈,이도겸,이정헌,김병철,강남미,성진욱,허문호,안호연,이태금,신진우,박창용,김기현,전정식,차봉주,이산복,박대성,김성범,박상언,오정우,이주환,민성욱,조진웅,문영동,문영동,손병호,박준혁","(주)보코픽쳐스",328,53721,8.23170731707317
"Mr.로빈 꼬시기",3990360200,680241,301,20110,"2006-12-07","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","멜로/로맨스,코미디","김상우","엄정화,다니엘 헤니,오미연,장소연,최진호,김기현,손진호,최종률,박현영,옥지영,이운산,원우,권유준","(주)싸이더스",286,49510,5.24475524475525
"PMC: 더 벙커",14024838424,1671548,1081,49806,"2018-12-26","(주)씨제이이엔엠","15세이상관람가","액션","김병우","하정우,이선균,제니퍼 엘,이상원,민무제,강신철,손성찬,안성봉,양지수,신현빈","(주)퍼펙트스톰필름",1047,219234,3.24737344794651
"R2B: 리턴투베이스",8602921371,1201944,539,32881,"2012-08-15","(주)씨제이이엔엠","15세이상관람가","액션,드라마","김동원","정지훈,유준상,신세경,김성수,이하나,이종석,정경호,조성하,오달수,정석원,임태열,정호빈,김성철,이웅규,윤승남,박효준,정한용,최진호,엄효섭,전소현,류제승","(주)주머니필름,(주)빨간마후라,(주)씨제이이엔엠",534,206793,0.936329588014981
"S 다이어리",7024070500,1098583,169,20150,"2004-10-22","CJ ENM,아이러브시네마","15세관람가","코미디","권종관","공유,김광일,홍윤희,최우혁,이현우,이하나,김수로,김선화,김선아,김미경,최철수,안현주,서상우,임재연,오주은,이찬호,이철호,이충신,이찬호","(주)아이필름홀딩스",153,109942,10.4575163398693
"가려진 시간",3946968400,511131,884,30416,"2016-11-16","(주)쇼박스","12세이상관람가","드라마,판타지","엄태화","강동원,배영한,신은수,이효제,김희원,권해효,김단율,정우진,엄태구,박종환,김예지,이영상,조슬예,고민우,오희준,김정영,안지호,박지후,윤금선아,김준배,박성연,강덕중,김비비,백승진,김희상,김동현","(주)바른손이앤에이",884,71077,0
"가면",2139483000,318614,200,11366,"2007-12-27","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","스릴러,미스터리","양윤호","김강우,김원중,김민선,이수경,김유정,조명희,박인,박정선,서상민,유정아,장철수,박상철,오아름,오지영,김규리,최덕문,강성필,장원영,김서원","(주)디알엠엔터테인먼트",194,22207,3.09278350515464
"가문의 부활 - 가문의 영광3",15996330400,2598859,444,51434,"2006-09-21","(주)쇼박스","15세관람가","코미디","정용기","신현준,김원희,김수미,탁재훈,김도연,김응수,강병조,김홍규,임형준,박영식,백승주,고영식,고영식,권오태,서명석,서명석,서명석,서승인,김경준,민수진,유경미,장지은,이승철,오상만,이한글,공형진,정준하,김용건,김해곤,신이,장준휘,이민웅","(주)태원엔터테인먼트",415,128428,6.98795180722892
"가문의 영광4 - 가문의 수난",17792219500,2368267,537,48432,"2011-09-07","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디","정태원","김수미,신현준,임형준,정준하,탁재훈,현영,허필봉,정웅인,박정호,박정환,한용환,모상범,임정빈,여기한,오석규,이창세,김지우,김성주,정만식,김화섭","(주)태원엔터테인먼트",391,62553,37.3401534526854
"가문의 영광5 - 가문의 귀환",8330342500,1160021,447,29429,"2012-12-19","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디","정용기","조성현,정준호,김민정,유동근,성동일,박근형,박상욱,윤두준,황광희,유민,손나은,이창세,한정원,박준우,박효진,이주원,유혜정,이한위,왕석현,윤문식,남태부,김태준,김도영","(주)태원엔터테인먼트",423,153719,5.67375886524823
"가문의 위기(가문의 영광2)",28622355500,4529876,351,61009,"2005-09-07","(주)쇼박스","15세관람가","코미디","정용기","신현준,김수미,김원희,최은주,김효진,박은혜,임형준,한재혁,김인욱,이화란,장지영,김재희,장서윤,이미도,공형진,정준하,탁재훈,정호빈,최욱,김해곤,신이","(주)태원엔터테인먼트",271,94987,29.520295202952
"가발",2816190000,448161,145,10156,"2005-08-12","CJ ENM","15세관람가","공포(호러)","원신연","방중현,채민서,유선,류현민,서현선,이윤희,진용욱","코리아 엔터테인먼트",142,48751,2.11267605633803
"가을로",3653445400,601733,255,18905,"2006-10-26","롯데쇼핑㈜롯데엔터테인먼트","15세관람가","멜로/로맨스,드라마","김대승","유지태,엄지원,김경란,김지수,최종원,장석원,임종윤,조석영,김혜련,노승욱,유연정,김철홍,이봉규,정인기,김기천,김비비","㈜영화세상",242,46755,5.37190082644628
"가장 보통의 연애",24885803430,2924563,1073,111527,"2019-10-02","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","멜로/로맨스,코미디","김한결","김래원,공효진,강기영,정웅인,장소연,이채은,정혜린,손우현,박근록,주민경,지일주,오동민,성병숙,차엽,윤경호,차중원,신민재,손영순,손산,이승찬,조재완,김연철,김영,배현성,조지현,송예진,정현규,심소연,손성찬,조영복,최정원,최지원,강소연,유하성,송규용,정미란,한예성,임지형,이건희,김진옥,박인영,이윤재,강은수,홍민성,민지안,임유란,송필근,손여은","영화사 집",1006,145572,6.66003976143141
"가족",8051239500,1270581,104,25473,"2004-09-03","(주)튜브엔터테인먼트","15세관람가","드라마","이정철","수애,주현,박지빈,박희순,박상영,정욱,박상우,오현수,전국환","튜브픽쳐스(주)",93,31993,11.8279569892473
"각설탕",7631785700,1265508,228,25009,"2006-08-10","CJ ENM","전체관람가","드라마","이환경","임수정,박은수,김유정,김광규,박길수,정경호,유오성,허재영,신형철,박태종,배정윤,양희진,이태용,이준철,오태경,김상호,권병길,김기천","(주)싸이더스",226,52153,0.884955752212389
"간 큰 가족",8212961893,1305518,247,31517,"2005-06-09","(주)쇼박스","12세관람가","코미디","조명남","감우성,김수미,김수로,김도연,조용희,김기철,김길라,정현우,유장식,최성용,김영희,김용완,성지루,전국환,신이,박충선,김태곤,이칸희,최교식,정희태,오창경","(주)두사부필름",213,51028,15.962441314554
"간기남",9356404500,1246185,396,38155,"2012-04-11","(주)쇼박스","청소년관람불가","코미디,스릴러","김형준","박희순,박시연,주상욱,김정태,이한위,이광수,박희순,차수연,전승환,차종호,이상헌,신현탁,김강일,김윤성,김경룡","(주)트로피엔터테인먼트,㈜더드림앤드픽쳐스",332,103609,19.2771084337349
"간신",8947046910,1110274,697,40591,"2015-05-21","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","사극","민규동","이채민,주지훈,김강우,천호진,임지연,이유영,김현수,문희경,박시영,박아영,임효우,전미정,전태호,박은영,박은영,박재성,박주희,박지수,정수지,정재우,배효진,조명행,조용완,송영창,차지연,성진아,최창훈,신동필,양정민,염재민,한진구,이보라,홍의정,황동희,이소희,이솔,이승주,이용호,이용호,이윤지,김태희,서영주,기주봉,장광,류아벨,김강일,정만식,최일화,전여빈,박명신,민성욱,김도영,손수현,고경표,정인기,주가영,박경찬,곽자형,오창경,임용순,손영희,이슬기,이상철","(주)수필름",674,83605,3.41246290801187
"간첩",9316548500,1310895,576,41726,"2012-09-20","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","드라마,코미디,액션","우민호","김명민,염정아,유해진,변희봉,정겨운,정만식,이승호,오나라,천보근,박진우,장호준,정병두,조민호,최두선,박유영,박현수,서규선,박일목,조영진,김민재,오광록,서현우,김자영,류제승,정병두,한이진,곽진석","(주)영화사울림",533,68841,8.06754221388368
"감기",21774884000,3117859,806,55046,"2013-08-14","아이러브시네마","15세이상관람가","드라마,어드벤처,액션","김성수","장혁,수애,박민하,유해진,이희준,김기현,이상엽,박효주,박정민,최병모,마동석,차인표,정석원,나기찬(윤숭태),정재형,김남준,한승희,전상진,이영수,한정학,이학수,장슬기,김태준,박성철,박예슬,박진혁,박희권,유순철,나윤성,남문철,이윤희,설창희,최정현,김서원,양도현,이람,이동진","아이러브시네마,(주)아이필름홀딩스,(주)씨제이이엔엠",671,304661,20.1192250372578
"감시자들",39380162179,5508017,949,100309,"2013-07-03","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","범죄,액션","조의석,김병서","설경구,서지원,정우성,한효주,진경,이준호,임달화,손민석,김대진,이태형,이동휘,이화정,김진곤,박지훈,김지훈,신성일,변요한,정우근,장원형,장유리,조도연,지영준,한영주,문성렬,박영진,박지연,백동현,신경철,이가람,이상민,김병옥,윤돈선,강신하,이동진","영화사 집",731,210052,29.8221614227086
"감쪽같은 그녀",3594862790,469296,761,24843,"2019-12-04","메가박스중앙(주)플러스엠","전체관람가","드라마","허인무","나문희,김수안,천우희,최수영,연제욱,정유진,고규필,임한빈,강보경,심완준,최정윤,진선미,임현성,이용이,이미영,박서진,김서영,권소현,송지안,유지연,연송하,김지유,박지원,허재호,정예진,최경미,남윤주,차승호,박신혜,김미우,현소라,유채은,주혜지,김지원,김재철,서예선,서은진,이현옥,송민석,송원종,송채원,박인성,문현옥,이현지","(주)지오필름",761,35839,0
"강남 1970",17718699499,2192276,841,53304,"2015-01-21","(주)쇼박스","청소년관람불가","액션,드라마","유하","이민호,김래원,정진영,설현,유승목,한재영,이연두,정호빈,최진호,엄효섭,최병모,지대한,전배수,윤종화,서우진,이인혁,이정완,이주협,박소희,박시연,이한울,임성숙,장준혁,전우재,강풍,박재영,박재희,박준영,정영택,백동현,정창용,조선기,서현석,천영암,손재영,주연서,신영규,양진석,오형근,윤지원,이규석,김원진,이성용,이성준,이세훈,황재진,이원희,이은주,안정우,정진영,김지수,곽민호,이가경,한준우,이성우,임용순,박기륭,유정호,신유람,박태산,남진복,박혁민,서병철","(주)모베라픽처스,(주)쇼박스",684,152329,22.953216374269
"강력 3반",5053205500,828112,174,19951,"2005-09-29","롯데쇼핑㈜롯데엔터테인먼트","15세관람가","액션","손희창","김민준,허준호,남상미,김광일,김정태,김응수,강경덕,김태환,박규선,유혜진,윤영민,정재욱,박상면,장항선,남문철,조성하,이미은,윤지혜,김태훈,조영규","(주)씨네넷",156,40196,11.5384615384615
"강적",1956841000,318142,235,12049,"2006-06-22","(주)쇼박스","15세관람가","액션,드라마","조민호","박중훈,천정명,강민수,최창민,심재원,안정희,장보영,강정원,최동건,김성관,박대현,윤서현,윤성재,구정욱,김철구,최영환,오경수,김주범,최명수,조진웅,김준배,김학선,황석정,한기중,김중기,문정희,염혜란,이미은,유인영,백현진,조영규,송대중","(주)미로비젼",220,36795,6.81818181818182
"강철비",35490346466,4452850,1426,80359,"2017-12-14","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","액션,드라마","양우석","정우성,곽도원,김갑수,김의성,이경영,조우진,정원중,김명곤,박은혜,김지호,안미나,원진아,정유나,이상민,이정호,정환,한승헌,박민희,한창현,이양희,현봉식,손성찬,이지원,강덕중,최현종,권범택,천재홍,정종우","(주)와이웍스엔터테인먼트,(주)모팩",1259,236952,13.2644956314535
"강철중: 공공의 적 1-1",28638460100,4313101,707,74157,"2008-06-19","CJ ENM,(주)시네마서비스","15세이상관람가","드라마,액션","강우석","설경구,정재영,강신일,유해진,탁트인,이상현,김윤성,이재원,조한영,박창용,박태훈,김건호,김재득,임장현,이민호,김태한,정원중,김영옥,김영필,이한솔,리우진,박혁민,차영남,박영서","(주)시네마서비스글로벌,(주)시네마서비스",575,199973,22.9565217391304
"거룩한 계보",8759204600,1433696,372,32113,"2006-10-19","CJ ENM","15세관람가","드라마,액션","장진","정재영,정준호,김성훈,김상일,주진모,박용민,김향배,박지형,장아람,김광현,김규철,김도희,김성진,임도영,정용수,이승영,오창렬,이영준,이정,장영남,이철민,이한위,이해영,윤유선,이상훈","(주)시네마서비스글로벌",325,78754,14.4615384615385
"거북이 달린다",20618276000,3024666,432,69946,"2009-06-11","(주)쇼박스","15세이상관람가","드라마,액션,범죄","이연우","김윤석,정경호,견미리,선우선,서동수,이효권,최수현,양현석,김종근,김준희,최권,라미란,신정근,이무생,조덕제,유하복,차은재,김희원,박선준,염동헌,최홍일,류성현","(주)씨네이천",344,64418,25.5813953488372
"건축학개론",30223590400,4111237,593,106069,"2012-03-22","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","멜로/로맨스,드라마","이용주","엄태웅,한가인,이제훈,배수지,고준희,조정석,신민영,신예진,유연석,조현철,박진우,김의성,이승호,박수영,박지은","(주)명필름",549,66580,8.01457194899818
"걸캅스",13812802134,1629528,973,63163,"2019-05-09","(주)씨제이이엔엠","15세이상관람가","코미디,액션","정다원","라미란,이성경,윤상현,최수영,염혜란,위하준,주우재,강홍석,김도완,이정민,신현숙,이레,조혜주,배유람,임현성,안재홍,한수현,조병규,강문봉,강성하,박소은,서석규,서성현,김광섭,옥자연,성동일,소희정,백승환,김미지,김민경,안대웅,안성봉,여이레,오상준,오상준,오성현,오세환,김성균,오하늬,김성종,김송이,최예림,이성규,김정교,조미라,조서진,김정현,전소영,김승아,이진성,황필규,황필성,김신우,최준영,이가희,김준,강신하,김지나,이금용,이기원,김지유,이승훈,최혜진,김한상,김병남,하정우,이영아,김세진,김태준,이확광,임예은,한수연,조예진,김용진,김춘심,김해정,류대산,나대남,위하준,노승은,이윤희,정두원,이은숙,정세인,김철환,김찬희,윤현길,신한숙,이도연,최병윤,김진욱,이문빈,심희진,이선정,안창환,이의수,전석호,여시현,여은지,여은지,임현철,오성미,설창희,하연희,송지혁,한건희,임범용,황이현,박두희,허단비,곽민석","(주)필름모멘텀",760,74718,28.0263157894737
"검사외전",77320403264,9707581,1812,153532,"2016-02-03","(주)쇼박스","15세이상관람가","범죄,코미디","이일형","황정민,강동원,이성민,박성웅,김응수,신소율,주진모,김원해,김홍파,김병옥,박종환,전배수,박지환,손종학,신혜선,김시은,김종수,한재영,박지환,박종우,박지홍,송승현,윤석민,이규호,이석준,이선주,이승우,이승준,이승훈,이승훈,최현준,김영,이정은,장지건,한창현,정기섭,민무제,손성찬,윤경호,최교식,류성현,백익남,백인권,전광진,임용순,박윤호,최정현,남진복,염석무,이형훈,이승민","(주)영화사 월광,(주)사나이픽처스",1268,526680,42.9022082018927
"검은 사제들",42409600592,5442915,1109,131177,"2015-11-05","(주)씨제이이엔엠","15세이상관람가","미스터리,드라마","장재현","김윤석,강동원,박소담,김병옥,김의성,이호재,남일우,김동현,김미영,김혜민,박지수,송선찬,이상민,이승훈,이현우,손종학,조수향,남문철,김수진,민진웅","영화사 집",834,191090,32.9736211031175
"검은 집",8842295700,1322196,332,39880,"2007-06-21","CJ ENM","청소년관람불가","스릴러,미스터리,공포(호러)","신태라","김혜정,황정민,유선,송찬호,최정자,강신일,최찬민,김상택,이승은,양홍준,유지연,손호승,윤재성,문가영,이해영,유승목,이주실,원애리,김승훈,정인기,손병욱","CJ ENM,가도카와헤럴드픽쳐스",307,70811,8.14332247557003
"결혼전야",8444355719,1214839,524,38846,"2013-11-21","씨너스엔터테인먼트(주)","15세이상관람가","멜로/로맨스,코미디","홍지영","김강우,김효진,주지훈,이연희,옥택연,마동석,구잘 투르수노바,이희준,고준희,최종윤,정민주,이미도,최병모,김광규,장광,황정민,오나라,임병우,이주실,민성욱,주부진","(주)수필름",514,56240,1.94552529182879
"경성학교: 사라진 소녀들",2749609100,356415,489,18520,"2015-06-18","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","미스터리,드라마","이해영","박보영,엄지원,박소담,공예지,주보비,박성연,심희섭,고원희,박주희,이혜리,박지선,조원철,최영근,최지명,신수연,김경애,김대성,김대호,오현정,이다희,황석영,이연정,이예은,이은경,윤정미,서미지,목규리,금새록,박성연,김동현","청년필름(주),비밀의화원",476,53657,2.73109243697479
"계춘할망",3602649348,482784,526,19653,"2016-05-19","(주)콘텐츠 난다긴다","15세이상관람가","가족,드라마","창","윤여정,김고은,김희원,신은정,최민호,류준열,양익준,박민지,남태부,강경탁,안소요,이상화,이슬비,이윤혁,신문성,오희준,김영철,주가영,송영숙","지오엔터테인먼트,(주)퍼플켓츠필름,(주)빅스토리픽쳐스",483,28793,8.90269151138716
"고고 70",3865123500,595145,369,26844,"2008-10-03","(주)쇼박스","15세이상관람가","드라마","최호","곽선영,조승우,신민아,차승우,한송이,정영숙,유정호,이성훈,최은정,강경래,정현아,손경호,손대구,허성일,강명찬,신경아,김명기,조미영,홍석창,김혜정,김문영,김혜리,김효진,김형욱,홍유선,홍윤미,김희상,박유현,박은성,신용숙,신윤철,김형기,박인철,박정률,박준식,조정희,박진홍,남윤수,노재경,배태종,백승국,이동준,권혁일,강지훈,김고운,천정환,이병관,최정후,이병호,민혜진,박경선,김인규,최민규,유지훈,유진영,유하나,최민철,이희영,윤미연,임지희,박민수,임형진,장명진,전영호,정경애,윤정연,이성찬,정은선,박성용,최여진,이세현,오선화,박수경,박신영,이승수,김정교,김태훈,양진혁,김진수,이원정,유창숙,이현경,이종민,이지아,김은진,김민규,이지혜,조덕제,김종언,송지인,심영은,이종윤,이지혜,홍상진","(주)보경사",361,80800,2.21606648199446
"고령화 가족",8169492153,1141222,583,37524,"2013-05-09","(주)씨제이이엔엠","15세이상관람가","드라마,코미디","송해성","우혜진,박해일,윤제문,공효진,윤여정,진지희,이학렬,임승묵,임효우,정광호,정승환,김석영,최철수,홍진성,황유진,김해곤,문선영,박용수,선현철,송진영,이강진,양희경,이종현,김영재,이영진,이영진,강석철,유승목,김근영,오민애,한이진,신유람,박영서","(주)인벤트스톤",531,67251,9.79284369114878
"고死 : 피의 중간고사",10300791000,1634192,270,42719,"2008-08-07","에스케이텔레콤(주)","15세이상관람가","공포(호러),스릴러","창","이범수,남규리,김범,박우람,조기원,김형진,권현상,진성,백하나,이효연,윤정희,양지원,이도현,유신애,함은정,이얼,최배영,공정환,손여은","(주)코어콘텐츠미디어,(주)워터앤트리",238,87130,13.4453781512605
"고死 두 번째 이야기: 교생실습",5802318000,857038,313,23307,"2010-07-28","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","공포(호러),스릴러","유선동","김수로,황정음,윤시윤,김민영,박지연,박은빈,강내균,강성용,권현상,윤승아,황병현,박영주,박진수,남보라,박혜연,김기철,이동희,지성한,김도연,유미나,이상진,최민선,전상호,박상아,최아진,이종원,이용녀,지창욱,김진황,김보미","(주)코어콘텐츠미디어",279,98937,12.1863799283154
"고산자, 대동여지도",7801007258,974262,765,38048,"2016-09-07","(주)씨제이이엔엠","전체관람가","사극","강우석","김율호,차승원,유준상,김인권,남지현,신동미,남경읍,태인호,공형진,김종수,이형길,임경욱,박선용,상훈,박정호,박진영,백동현,송민석,송원종,양해길,양희정,전수정,전호근,정명수,정봉연,정진근,노경섭,윤성민,윤준호,이덕형,이문형,이성원,이수민,이윤상,지동주,지현준,최은식,최한기,한명철,홍광표,홍대영,노남석,정준용,김기정,오희준,손성찬,정종열,곽수정,김시우,차청화,임용순,박기륭,박소영,추연규,여민구,이승철","(주)시네마서비스",764,29603,0.130890052356021
"고양이: 죽음을 보는 두 개의 눈",4780632000,672340,304,18975,"2011-07-07","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","공포(호러)","변승욱","김예론,김동욱,강경자,조석현,신다은,박진영,박민영,박상현,임경환,이철민,이한위,박현영,서이숙,이중옥,이장유,강기둥","파인하우스필름(주)",266,56183,14.2857142857143
"고지전",21968680600,2945151,585,53739,"2011-07-20","(주)쇼박스","15세이상관람가","드라마,전쟁","장훈","신하균,고수,이제훈,류승수,고창석,이다윗,류승룡,김옥빈,조진웅,정인기,강구현,강내균,송현석,조민철,조민호,홍서백,박영서,박재철,박종환,박주용,하성철,조형우,서수석,김경일,김상수,최민,윤민수,임재현,김준영,김지수,이주승,최정우,전국환,김강일,서현우,한이진","(주)티피에스컴퍼니",559,98066,4.65116279069767
"곡성",55864308382,6879989,1485,130332,"2016-05-12","이십세기폭스코리아(주)","15세이상관람가","미스터리,스릴러,드라마","나홍진","곽도원,황정민,쿠니무라 준,천우희,김환희,허진,장소연,김도윤,손강국,전배수,황석정,배용근,배용근,이인철,이용녀,선호삼,송민석,신재현,안수연,이선희,이수빈,이수진,권귀덕,이연,이연경,이연경,백승철,이정은,박성연,최교식,김기천,송훈,신정섭,김송일","(주)사이드미러,이십세기폭스 인터내셔널 프로덕션",1125,310042,32
"곤지암",21444236144,2675883,1124,88553,"2018-03-28","(주)쇼박스","15세이상관람가","공포(호러),스릴러","정범식","위하준,박지현,오아연,문예원,박성훈,이승욱,류제윤,이주원,정아노마","(주)하이브미디어코프",808,198365,39.1089108910891
"골든슬럼버",11412768798,1387508,833,42991,"2018-02-14","(주)씨제이이엔엠","15세이상관람가","범죄,드라마","노동석","강동원,김의성,한효주,김성균,김대명,윤계상,이준혁,정소민,최우식,유재명,차순배,김시은,이강희,이경훈,이상원,박혜영,김재영,방한솔,이예림,김종호,손영진,신경철,이진구,이하늘,김지희,김지희,김진성,오기환,남은정,박다은,박서연,박성희,박시은,박은영,전한나,박정민,정신영,정연주,박지선,박지현,조영진,김건,최재호,최진호,최혜영,한대훈,황준혁,김소정,김수영,김우진,김승호,김유정,오륭,염혜란,박건아,노수산나,이학주,우상기,원현준,김승훈,김미경,윤부진,곽자형,이상희,윤재인,정인겸,김서원,정미형,황재열,조승구,이승민","영화사 집",762,161564,9.31758530183727
"공공의 적 2",20091127000,3134421,299,40642,"2005-01-27","(주)시네마서비스","15세관람가","드라마","강우석","설경구,정준호,유해진,강경덕,박웅,강신일,홍지연,전미애,박태수,남성훈,한재준,서영민,박상욱,최수경,이채은,이미도,변희봉,최정우,김강일,남문철,권태원,원근희","(주)시네마서비스",264,149526,13.2575757575758
"공모자들",12240964500,1646142,496,44959,"2012-08-29","씨너스엔터테인먼트(주),타임스토리그룹(주)","청소년관람불가","범죄,스릴러","김홍선","임창정,최다니엘,오달수,조윤희,조달환,정지윤,최일화,박일목,임향주,권태호,최은용,최지향,박승명,오상진,라미란,김재화,손종학,김규선,공정환,허준석","(주)영화사채움",399,97419,24.3107769423559
