"영화명","누적매출액","누적관객수","스크린수","상영횟수","개봉일","배급사","등급","장르","감독","배우","제작사"
"나는 왕이로소이다",5455343404,790181,471,21898,2012-08-08,"롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","사극,코미디","장규성","주지훈,백윤식,변희봉,박영규,임원희,이하늬,백도빈,김수로,김소현,전지혜,정지현,조대희,최대원,김상용,한여울,이림,김형주,박준서,박혜민,신승훈,유지혜,이미도,윤기원,김응수,윤경호,최교식,원근희,한이진,양도현,이동진,이상협","데이지엔터테인먼트"
"나랏말싸미",7871240823,958775,1211,39206,2019-07-24,"메가박스중앙(주)플러스엠","전체관람가","사극","조철현","송강호,박해일,전미선,최덕문,남문철,정해균,박동혁,정인겸,김준한,차래형,윤정일,탕준상,금새록,임성재,오현경,정수지,지웅배,강수호,노성덕,박성욱,권기홍,김경원,김관수,김규원,성한여름,김대식,배주휘,김미향,보휴스님,송상은,우지현,우지현,유동균,어윤석,어주선,유용재,김상원,윤승훈,최문철,최민성,정지우,이선우,김재훈,조우리,김슬기,최재영,이찬우,효성스님,김연,김준석,김준하,고기영,고청휘,지명관,이근후,김진혁,김영원,김영주,김쇼우,김영건,일구스님,일암스님,김정진,김정한,이상규,김태훈,남열,윤사비나,정시율,윤택승,정찬훈,김진이,홍현수,이두석,이재진,김은미,이우주,정인교,임태린,백수민,하시연,송창곤,한건태,한용휘,혜력스림,전현수,윤슬","(주)영화사두둥"
"나를 기억해",1230898892,141222,545,14322,2018-04-19,"(주)키다리이엔티","청소년관람불가","미스터리,범죄,스릴러","이한욱","이유영,김희원,오하늬,이학주,김다미,고규필,손강국,윤희정,이규현,이재혁,김준희,김태윤,김희원,장혁진,박건아,이홍내","(주)오아시스이엔티"
"나를 잊지 말아요",3409535000,427197,559,19144,2016-01-07,"(주)씨제이이엔엠","15세이상관람가","멜로/로맨스","이윤정","정우성,김하늘,배성우,장영남,조이진,임주은,허진,이준혁,온주완,권해효,김봉근,윤다경,임태호,박지원,이상훈,이승원,이우주,이은이,최준환,차청화","(주)아티스트스튜디오"
"나를 찾아줘",5117014620,645082,875,29475,2019-11-27,"워너브러더스 코리아(주)","15세이상관람가","스릴러","김승우","이영애,유재명,이원근,박해준,백주희,최현종,황재열,김종수,이항나,김태율,이시우,허동원,진유영,정애화,김종호,서현우,정형석,한철우,황태광,손이현,정준현,김국희,김시우,윤인조,김정현,홍택근,최형,심훈기,김미지,김미지,신용훈,김율호,강길우,김주희,하윤희,박민규,서예주,김이경,류경민,김혜지,정상현,박준형,이문희,박지윤,박경혜,유지연,정준원","(주)26컴퍼니"
"나쁜 녀석들: 더 무비",39560195124,4573902,1511,113938,2019-09-11,"(주)씨제이이엔엠","15세이상관람가","범죄,액션","손용호","마동석,김상중,김아중,장기용,강예원,민태율,박형수,김혜윤,손성찬,박상욱,정종열,김경덕,서문호,백종민,임용순,안성봉,배은우,김인우,박태산,지승현,추연규,최원,이순혁,박효준,이재윤,박원상,조영진,한정현,전익령,김형묵,윤병희,강영묵,조동혁,공정환,석영오,문경민,손진환,김희창,박광재,최현욱,김원진,이수정,장준녕,김재록,설지윤,배성민,김창옥,이승창,김원중,박서진,강승호,김지웅,서영민,원근수,문재원,정광희,서문호,배현경,홍도성,황두하,지남혁,한상철,장의돈,이진혁,박병선,봉신주,박근영,이지운,김산성,박민한,김대경,고봉구,김효영,한명철,신현승,유병선,오재윤,김문학,양한석,이수민,나호원,정무성,박태산,이왕수,최재원,유인선,김미지,조혜빈,최서현,윤수하,최지희,최효상,김윤홍,김지한,임용순,김강일,박용,손성찬,방재호,김춘기,김시온,장한승,전민준,안성봉,신유람,윤토왕,정윤철,임정민,박금철,김왕용,서정우,홍범기,권지훈,양해길,박광설,이형길,주원,배준모,김정봉,이성빈,이재학,여경준,강범석,최민석,박성우,임시우,한명환,손현민,김지훈,박현준,고건호,박국진,김여름,김창희,남상기,노현석,나예성,신용호,신현빈,윤지용,이건희,이원찬,이종현,장석권,정상호,정지성,한지훈,조태호,김혜성,진시원,임세운,박숙명,김시혜,김주연,정은정,김상욱,유재상,송원수,김선동,이한성,곽정길,김명희,김유진,홍희자,박복만,심철민,옥주리","(주)씨제이이엔엠,(주)영화사비단길"
"나의 PS 파트너",13896958616,1831737,552,39254,2012-12-06,"(주)씨제이이엔엠","청소년관람불가","멜로/로맨스,코미디","변성현","지성,김아중,신소율,강경준,김성오,정수영,문지윤,김보미,지은,최은두,박준기,신해철,이미소,김보연,정종열,최교식,설창희","나의PS파트너 문화산업전문회사"
"나의 결혼원정기",3860195500,632553,237,17821,2005-11-23,"롯데쇼핑㈜롯데엔터테인먼트","12세관람가","드라마","황병국","정재영,수애,유준상,김응수,김지영,정혜영,임찬익,주용재,채수린,장준희,박길수,권태원,김비비","튜브픽쳐스(주)"
"나의 독재자",2907311546,386072,654,24221,2014-10-30,"롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","드라마","이해준","설경구,박해일,윤제문,이병준,류혜영,이규형,김영대,김원진,김철환,민경진,박민수,송성찬,이준혁,배유람,배성우,장소연,채수빈,김강현,남연우,전국환,박지환,성유빈,신문성,이신성,허준석,홍기준,김자영,이장유,김영웅,정인겸,박영서","반짝반짝영화사(주)"
"나의 사랑 나의 신부",16636404305,2141155,629,69684,2014-10-08,"씨네그루(주)다우기술","15세이상관람가","멜로/로맨스,코미디","임찬상","조정석,신민아,윤정희,이상희,전예원,조아라,김광수,김보미,김선하,김은비,박주운,신영일,배성우,라미란,윤문식,황정민,서강준,김형욱,김근영,고규필,강신철,박지연,이장유,조현식,손병욱","(주)필름모멘텀"
"나의 절친 악당들",1054470664,133553,384,9830,2015-06-25,"이십세기폭스코리아(주)","청소년관람불가","범죄,액션,드라마","임상수","류승범,고준희,류현경,샘 오취리,김응수,정원중,양익준,김주혁,이정배,임상수,정인호,최보람,안상완,윤여정,이래규,한효준,홍성훈,이상미,홍의정,이상화,김태영,김형규","휠므빠말주식회사,이십세기폭스 인터내셔널 프로덕션"
"나의 특별한 형제",12081618074,1478156,936,49927,2019-05-01,"(주)넥스트엔터테인먼트월드(NEW)","12세이상관람가","드라마,코미디","육상효","신하균,이광수,이솜,박철민,권해효,길해연,양소민,배명진,김자영,김한나,양조아,김기천,고봉구,김경남,송철호,박정훈,서지원,김동훈,신안진,신안진,김민석,안지호,우지현,우지현,오세은,김서원,김현빈,이선주,김희창,윤정로,김승태,강은아,김중기,고현준,이채은,이호원,목규리,김태완,최광일,이도엽,김윤호,연승빈,전채원,서희,선종남,한경원,한별,정유민","(주)명필름,(주)조이래빗"
"나탈리",1114062000,94875,196,10025,2010-10-28,"롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","멜로/로맨스,드라마","주경중","이성재,김지훈,박현진,조수진,황희숙,주희,김기연,임소은,양지원,김예지","(주)상상엔터테인먼트"
"날, 보러와요",8836144063,1063442,683,49237,2016-04-07,"메가박스중앙(주)플러스엠","청소년관람불가","미스터리,스릴러","이철하","강예원,이상윤,최진호,지대한,김종수,이학주,장태성,유건,길해연,조재윤,이형석,박송해,정경일,안용우,안지혜,안지혜,최낙영,이규호,이상백,이승진,김호원,황성준,전광진,김현,임용순,문일택","영화사올(주),(주)발렌타인필름"
"날나리 종부전",181323000,31236,162,4120,2008-05-22,"롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","코미디","임원국","박정아,박진우,장민호,이원종,김태호,김고운,이현미,이일화,양금석","(주)필름캔"
"날아라 허동구",2333597000,378161,260,18712,2007-04-26,"(주)쇼박스","전체관람가","가족,드라마","박규태","권오중,최우혁,정진영,김병철,강남규,정효영,송우진,조범규,김희원,최동현,황다은,박한나,주영진,이동진,박동주,유아영,정원석,정유경,박성원,이소라,임정철,임성희,오재훈,김진혁,이태희,이준현,문가영,이원종,신정근,유하복,김강일,전소현,염동헌","(주)타이거픽쳐스"
"남과 여",1651122533,203775,449,9790,2016-02-25,"(주)쇼박스","청소년관람불가","멜로/로맨스","이윤기","전도연,공유,이미소,정선경,윤세아,김혜옥,박민지,전준호,오정완,조희,윤신혜,이보영,이상희,민무제,강신철","(주)영화사봄"
"남극일기",5478113500,871235,244,18655,2005-05-19,"(주)쇼박스","15세관람가","스릴러","임필성","박희순,박선주,유지태,송강호,안병근,임성민,최덕문,윤제문,오희준","(주)미로비젼,㈜싸이더스픽쳐스"
"남자가 사랑할 때",14510222300,1979311,531,41123,2014-01-22,"(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","멜로/로맨스,드라마","한동욱","황정민,한혜진,곽도원,정만식,손세빈,백동현,이확광,임정빈,임희준,양준호,조왕섭,조화성,최제헌,이성호,한동욱,권지훈,허명행,황병국,김정수,남경민,문성렬,박성웅,이채은,김병옥,김홍파,남일우,김태희,김종수,최우리,남문철,박지환,강민아,정희태,곽진석,김서원,박혁민,손병욱","(주)사나이픽처스,필름트레인"
"남자사용설명서",3606654257,507913,372,17238,2013-02-14,"(주)쇼박스","15세이상관람가","코미디,멜로/로맨스","이원석","김영현,이시영,오정세,박영규,김정태,이원종,배성우,김준성,김민재,경수진,조혜선,최우영,성윤용,손종규,이순혜,차종호,정보름,손산,김영웅,차청화,김사희","(주)영화사소풍"
"남쪽으로 튀어",5970851500,832894,428,23088,2013-02-06,"롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디,드라마","임순례","김윤석,오연수,한예리,백승환,박사랑,김성균,이청기,이현경,최성태,홍지은,황인준,박윤호,서은아,김종구,김홍파,라미란,이동휘,박진우,이대연,유재명,유하복,오희준,김태훈,김자영,김영웅,김경덕,전수지,전광진,오창경,김종태","(주)영화사거미,필름트레인"
"남한산성",31225419792,3849129,1229,71102,2017-10-03,"(주)씨제이이엔엠","15세이상관람가","사극,드라마","황동혁","이병헌,김윤석,박해일,고수,박희순,조우진,박주운,박지원,백동현,서병철,장정국,이정호,이호중,권효민,신희철,한창현,허성태,이장유,곽자형,강덕중,박지일,최희도,엄지만","(주)싸이런픽쳐스"
"내 남자의 로맨스",4895975500,765720,102,9658,2004-07-16,"CJ ENM","12세관람가","드라마","박제현","김상경,박동빈,김정은,이유진,신영미,김희은,안준우,이광재,서광재,박솔,엄기욱,최이영,엄기욱,맹상훈,지대한,한재영,정희태","메이필름(주)"
"내 남자의 순이",73108500,10449,99,2013,2010-05-27,"(주)새인컴퍼니","15세이상관람가","코미디","김호준","박해미,이태성,신이,강기준,김면지,홍기석,김혜연,최지성,홍현철,안석천,장수연,원진희,박범철,심원철,지대한,정경호","여해 엔터테인먼트,㈜프레임 에이치 컨텐츠 그룹"
"내 눈에 콩깍지",400965500,54514,123,5006,2009-11-05,"CJ ENM","12세이상관람가","멜로/로맨스,코미디","이장수","이지아,강지환,신현탁,한수빈,장지은,윤정원","(주)삼화네트웍스"
"내 머리 속의 지우개",11919939500,1885827,206,29532,2004-11-05,"CJ ENM","12세관람가","멜로/로맨스","이재한","정우성,손예진,데이비드 맥기니스,김부선,정광재,최기호,박경진,장재용,전은희,이영필,박윤희,이정인,신현탁,김중기,권병길,진용욱,정민성,최교식","(주)싸이더스"
"내 사랑",6315244000,962134,240,21153,2007-12-18,"(주)쇼박스","12세이상관람가","멜로/로맨스,드라마","이한","감우성,최강희,엄태웅,김민채,박정민,이은아,이연희,정일우,서신애,임정은,박정민,최현주,황재호,박지호,남동협,박현정,안창수,한상현,민경만,유재훈,최선미,장현수,이선화,박새롬,정은혜,엄광원,이한위,최욱,최종률,오연아","(주)오죤필름"
"내 사랑 내 곁에",15584755500,2135509,478,65168,2009-09-24,"CJ ENM","12세이상관람가","드라마,멜로/로맨스","박진표","하지원,김명민,남능미,임하룡,최종률,신신애,임종윤,임형준,임성민,가인,장원영,김여진,김광규,정의철,김혜림,임훈,유지연,유승목,신치영,김영필,강신일,송영창,설경구,박현영,김기천,전수지","영화사 집"
"내 생애 가장 아름다운 일주일",14710541000,2290709,296,41058,2005-10-07,"CJ ENM","15세관람가","멜로/로맨스","민규동","황정민,엄정화,김유정,김윤석,진태현,임창정,정경호,최원석,김수로,정혜영,조상철,김민섭,박준석,전성호,한상훈,서성종,김다인,김도민,유근희,김성래,최민규,전창훈,박상현,임이랑,이주리,김승원,이진호,이은희,이현,이현규,서영희,박진우,우현,주현,정경호,조희봉,이세영,류승수","(주)두사부필름,(주)수필름"
"내 생애 최악의 남자",2877614000,438009,260,18112,2007-08-30,"CJ ENM","15세이상관람가","드라마,멜로/로맨스","손현희,손현희","탁재훈,김선아,염정아,박창섭,박현경,이상길,임영식,엄수정,이한나,김광규,신이,조희봉,유지연,오지은,김승훈,정인기","(주)씨케이픽쳐스"
"내 심장을 쏴라",2856859132,387409,452,20042,2015-01-28,"(주)리틀빅픽쳐스,(주)이수C&E","15세이상관람가","드라마","문제용","이민기,여진구,유오성,김정태,김기천,신구,송영창,박충선,박두식,한혜린,이준혁,임문영,정유정,권소영,이규섭,김재화,엄효섭,김보라,장리우,진용욱,곽순우,한태린","(주)주피터필름"
"내 아내의 모든 것",34224467500,4598985,563,91777,2012-05-17,"(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디,멜로/로맨스","민규동","임수정,이선균,류승룡,이달형,이진희,김도균,김선일,최차원,신경철,옥광희,박희본,김지영,정대용,남명렬,김도영,한이진,박현우","(주)수필름,영화사 집"
"내 여자친구를 소개합니다",8329341500,1298666,185,19289,2004-06-03,"CJ ENM,아이러브시네마","15세관람가","멜로/로맨스,드라마","곽재용","전지현,장혁,김정태,정호빈,오정세,김창완,김광규,최주현,정한철,안수라,배재일,권영빈,백경찬,한지빈,원태운,장원식,윤선희,임종식,이호경,송윤희,김희영,안호완,박윤희,박윤희,이기우,정보름,우기홍,서동원","(주)아이필름홀딩스"
"내가 살인범이다",20392518000,2729827,547,58415,2012-11-08,"(주)쇼박스","청소년관람불가","액션,스릴러","정병길","정재영,박시후,최원영,김영애,정건영,장규미,장금단,권귀덕,정용견,정진근,금경배,김경석,최신호,최은애,강봉성,이상문,박윤호,이용희,박규범,백동현,서강호,오병호,유희원,윤봉철,배성우,손종학,한제인,최희진,장광,조은지,이봉련,백현주,류제승,김종구,차청화,한사명,남정희,김민상,김자금","(주)다세포클럽,(주)쇼박스"
"내부자들",56599221057,7072507,1129,152636,2015-11-19,"(주)쇼박스","청소년관람불가","범죄,드라마","우민호","이병헌,조승우,백윤식,이경영,김홍파,배성우,조재윤,김대명,조우진,이엘,정만식,김병옥,김의성,박진우,남일우,김연지,김진우,문소리,박경순,설우신,손혜진,신정미,윤보배,이선관,이재남,이재정,이주아,신지수,장현준,최정연,황준혁,손종학,조덕제,유재명,조경현,권태원,강신철,정민성,박성근,정종열,문광식,이문석,이동진","(유)내부자들 문화전문회사"
"내부자들: 디 오리지널",16979714975,2084868,838,47237,2015-12-31,"(주)쇼박스","청소년관람불가","범죄,드라마","우민호","신지수,이병헌,조승우,백윤식,이경영,김홍파,배성우,조재윤,김대명,조우진,이엘,정만식,김병옥,박진우,남일우,김의성,손종학,조덕제,유재명,권태원,강신철,정민성,박성근,이문석,이동진","(유)내부자들 문화전문회사"
"내안의 그놈",16420764567,1917999,1041,61752,2019-01-09,"(주)메리크리스마스,TCO(주)더콘텐츠온","15세이상관람가","판타지,코미디","강효진","박성웅,진영,라미란,이수민,이준혁,김광규,민지아,윤경호,김현목,권혁범,오윤수,이호수,김상겸,조성희,박경혜,장진희,차영주,박지훈,정윤하,정원창,박신아,윤부진,류현,민지민,박용균,김건,김경록,서동석,서승원,김근형,서진원,박주현,박준성,김남규,박지아,박지연,김대원,김대한,박진수,박진아,김도현,배경민,백기원,백수현,신유진,신재민,신진호,안효진,유영채,오세은,윤단비,남태우,오지영,윤송아,이정민,강민재,김은화,임효우,고경호,정지연,김현진,임지형,허유리,김재원,정혜원,권혁석,최우석,홍수현,조경섭,전두식,김재명,김홍파,이소라,이소현,김희선,조영지,김승필,황인준,강동길,조현영,이건구,강승호,이경진,이경호,김준형,이광호,지찬,곽지유,김영,권민서,권혁범,김가애,이동영,김영주,김명아,김명인,김범진,김부선,최경민,김예인,김석주,김태진,김태준,조경현,김우래,이우성,김재만,이범찬,김지예,김진걸,조시현,김현기,김찬오,이보라,김용훈,주우진,문강혁,남진복,유승운,진석진,진수선,이은영,김태성,정윤정,정윤철,안스완,이자은,신유선,최대열,박선근,신형근,박성주,최병국,이창식,이미노,이풍운,이하미,박영웅,안애린,이시율,최우주,이연하,손기성,배수진,배윤민,임승준,백민,임종화,염동철,전애진,염채은,예정민,손주형,추석영,전혜영,설지윤,송영우,하은유,하혜주,손광업,임동민,박소영,한선구,황순원,한지웅,한창현,서다해,함정인,허나경,허윤진,현익창,김용호,정택호,이동민,조준형,이상철,이상진","(주)에코필름,(주)전망좋은 영화사"
"너는 내 운명",17653822500,2701244,306,46674,2005-09-23,"CJ ENM","18세관람가","멜로/로맨스","박진표","전도연,황정민,나문희,서주희,윤제문,김상호,이민아,임종윤,신수현,정광재,박명규,정영헌,김수연,이경아,이규복,한지원,이미소,고수희,박진우,김학선,오정세,김광규,김부선,정유석,유지연,류승수,김정영,손경원","(주)영화사봄"
"너는 펫",3810103000,543313,341,24395,2011-11-10,"롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","멜로/로맨스,코미디","김병곤","장근석,김하늘,홍세희,최종훈,김유인,신정원,박재성,고나은,김해인,심서린,조진혁,박진성,박진아,조현수,고우리,유지민,정정숙,윤영식,윤용일,정유미,최원석,이진희,이채원,김주용,안길강,강하늘","컴어나더(주)"
"너의 결혼식",23676244369,2820969,970,98193,2018-08-22,"메가박스중앙(주)플러스엠","12세이상관람가","멜로/로맨스","이석근","박보영,김영광,강기영,장성범,고규필,서은수,차엽,안길강,이동석,이재상,서남윤,김준수,김지훈,김태환,김학준,김한슬,박규태,정난희,박종범,박주희,정유진,정주호,조영웅,김건중,홍근택,홍진기,김민석,김영훈,김성준,강희중,배해선,조성희,신희철,김현숙,안민영,전배수,윤경호,강덕중,유희제,하준,김성준,박성준","(주)필름케이,(주)외유내강"
"널 기다리며",5234303336,635235,551,33774,2016-03-10,"(주)넥스트엔터테인먼트월드(NEW)","청소년관람불가","스릴러","모홍진","김은우,심은경,윤제문,김성오,오태경,정해균,안재홍,김원해,지대한,이호열,장준현,정재숙,정진혁,조제웅,유경훈,이동혁,김서라,임용순,손경원,주부진,김남순","(주)영화사수작,모티브픽쳐스(주),(주)디씨지플러스"
"넛잡 2",3069388100,411787,526,10449,2017-10-03,"롯데쇼핑㈜롯데엔터테인먼트","전체관람가","애니메이션,어드벤처,코미디,가족","캘런 브런커","윌 아넷,캐서린 헤이글,성룡,이사벨라 모너","(주)레드로버,툰박스 엔터테인먼트"
"넛잡: 땅콩 도둑들",3284391800,479168,382,10818,2014-01-29,"(주)싸이더스","전체관람가","애니메이션,어드벤처,코미디,가족","피터 레페니오티스","윌 아넷,브렌든 프레이저,리암 니슨,캐서린 헤이글,싸이(박재상)","(주)레드로버,툰박스 엔터테인먼트"
"네버엔딩 스토리",2106823000,283449,269,13651,2012-01-18,"(주)화앤담이엔티","15세이상관람가","코미디,멜로/로맨스","정용주","엄태웅,정려원,유선,박기웅,박성광,이병준,조동희,최상아,최혜진,이정영,박준영,박현지,권해효,이칸희,김현정","아일랜드픽처스(주)"
"노리개",1229614500,169064,278,11564,2013-04-18,"(주)인벤트스톤","청소년관람불가","드라마","최승호","마동석,이승연,민지현,강미경,김용헌,서태화,기주봉,편보승,정명근,서호철","주식회사 마운틴픽쳐스"
"노무현입니다",14559135612,1855515,775,61332,2017-05-25,"CGV아트하우스,영화사 풀","12세이상관람가","다큐멘터리","이창재","노무현,이상호","영화사 풀"
"노브레싱",2991824739,451669,584,24912,2013-10-30,"(주)나이너스엔터테인먼트","15세이상관람가","드라마,멜로/로맨스","조용선","서인국,이종석,권유리,박철민,박정철,신민철,김재영,선우재덕,서준원,송병준,이명규,김준희,조상현,박용진,정민성,박현우","(주)영화사유랑,(주)팝콘에프앤엠,(주)더샘컴퍼니"
"누가 그녀와 잤을까?",2068632100,353360,212,14953,2006-11-16,"CJ ENM","15세이상관람가","코미디","김유성","김사랑,하석진,김윤아,이혁재,안선영,박철민,박준규,김홍준,신예림,홍진영,박종혁,박준호,김희창,박근식,유용석,육수진,국청아,양창훈,이우진,한재영,김해곤,하동훈,신이,고규필,이주실,윤기원,리우진,차엽","(주)태원엔터테인먼트"
"누구나 비밀은 있다",3529353500,542955,88,7650,2004-07-30,"(주)시네마서비스","18세관람가","코미디,멜로/로맨스","장현수","김효진,이병헌,추상미,최지우,임현주,황재원,최경민,임혜경,임승범,이재훈,정준하,탁재훈,김해곤,신이","(주)태원엔터테인먼트"
"눈부신 날에",1729412500,272101,250,14658,2007-04-19,"(주)시네마서비스","15세이상관람가","드라마","박광수","박신양,서신애,예지원,김도연,김선화,김동환,조민규,김원섭,최재필,홍은영,김현지,박지수,박미성,전훈,태인호,김치훈,이재원,이주용,유재명,김광규,류승수","(주)아이필름홀딩스"
"눈에는 눈 이에는 이",13410811500,2058616,445,46474,2008-07-31,"롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","범죄,스릴러,액션","곽경택,안권태","한석규,차승원,송영창,김윤태,이병준,김혜정,박영찬,홍의정,최지혜,임성규,박정률,조은성,이건문,서정주,박병렬,정윤,정은주,김철준,오권열,김종만,김영한,김해숙,임현성,김지석,신유람,손병욱","(주)태원엔터테인먼트"
"늑대소년",46593140500,6654842,854,109134,2012-10-31,"(주)씨제이이엔엠","15세이상관람가","멜로/로맨스,드라마,판타지","조성희","송중기,박보영,장영남,유연석,김향기,장서이,한민혁,이승주,최광락,오영석,차종호,이영란,유승목,서동수,김승훈,구교환,이민웅,남정희,정인겸","(주)영화사비단길"
"늑대소년-확장판",2869918500,414285,278,11438,2012-12-06,"(주)씨제이이엔엠","15세이상관람가","멜로/로맨스,드라마,판타지","조성희","송중기,박보영,장영남,유연석,김향기","(주)영화사비단길"
"늑대의 유혹",8025959500,1297296,123,12777,2004-07-22,"(주)쇼박스","12세관람가","드라마","김태균","강동원,이청아,조한선,이명수,정혜영,김현진,박용두,조인형,박진희,정다혜,김보연,김응수,남정희","(주)싸이더스"
"님은 먼 곳에",11206382000,1706495,499,36581,2008-07-24,"(주)쇼박스","15세이상관람가","드라마,전쟁","이준익","수애,정진영,정경호,주진모,조미령,홍영승,한성수,릭키 준,서성만,장재욱,이홍복,김장수,윤석진,이정세,오세영,이영수,오승현,정인애,최운석,신현탁,신정근,이주실,박윤호","(주)타이거픽쳐스"
"다세포소녀",2862468600,476724,199,12552,2006-08-10,"롯데쇼핑㈜롯데엔터테인먼트","15세관람가","코미디,멜로/로맨스","이재용","이종환,김옥빈,박진우,이켠,김도연,김수미,박용식,정혜영,신규식,조미현,신상우,안혜영,신승호,신영호,최재희,박재민,최지혜,이용주,김이경,김하림,박지혜,박태석,박혜원,박희준,배유리,이동우,김병화,김대웅,김광수,김대호,이혜정,이재흥,유호린,유준상,윤성호,정도영,김수관,용이,이혁,이현희,김용한,이재흥,이종열,이원종,이재용,이은성,장준녕","㈜영화세상"
"다이노 타임",2109592900,285084,430,6743,2015-04-30,"(주)씨제이이엔엠","전체관람가","애니메이션,어드벤처,코미디","최윤석,존 카프카","멜라니 그리피스,제인 린치,윌리엄 볼드윈,스티븐 볼드윈,롭 슈나이더,유리 로웬탈","주식회사 토이온"
"다찌마와리",4128754000,628359,299,23414,2008-08-14,"(주)쇼박스","12세이상관람가","액션,어드벤처,코미디","류승완","임원희,공효진,박시연,황보라,구본웅,김수현,김현우,이수현,류승범,강구현,허명행,송민석,송선찬,김동후,박지만,황정욱,노남석,주아영,류승완,권지훈,차주한,민지민,민지민,민지민,박갑진,곽진석,윤대원,윤대원,최봉록,권귀덕,권문철,권문철,이아영,이용신,양태용,김영인,이현주,정우,김병옥,조덕현,정석용,천성훈,조상건,안길강,오지혜,김뢰하,이도겸,이영아,김동후,이정민,곽진석","(주)외유내강,(주)쇼박스"
"닥터",495574500,68312,163,4131,2013-06-20,"(주)마인스 엔터테인먼트","청소년관람불가","스릴러","김성홍,김유정,배현지","김창완,배소은,최형,탁대성,하은설,반민정","(주)노마드필름"
"달마야, 서울 가자",4469579500,703507,128,10918,2004-07-09,"(주)시네마서비스","15세관람가","코미디","육상효","김지영,신현준,유해진,이성호,정진영,윤지연,이원종,김만수,홍성훈,박진,박찬민,하상호,임철민,공유석,김성구,이준회,신정근,정한용,전소현,염동헌,박윤호","(주)타이거픽쳐스,(주)씨네월드"
"달빛 길어올리기",362910000,57261,128,4972,2011-03-17,"(주)쇼박스,(주)씨제이이엔엠,롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","드라마","임권택","박중훈,강수연,예지원,김동호,송길한,김명은,최영재,윤태호,권현상,성지훈,조현진,서정민,민병록,이병관,박민희,전영준,최승연,김춘호,최유리,이경주,박길수,김병춘,권태원,김기천","(재)전주국제영화제조직위원회"
"달빛궁궐",1148146700,153145,425,6080,2016-09-07,"(주)넥스트엔터테인먼트월드(NEW)","전체관람가","애니메이션,판타지,어드벤처","김현주","김서영,이하늬,권율,김슬기,신용우,이장원,시영준,이상범,이현,강시현,문유정,정주원,신경선,이유리","스튜디오홀호리(주),(주)콘텐츠판다"
"달콤, 살벌한 연인",13426707100,2077590,246,38034,2006-04-06,"CJ ENM","18세관람가","스릴러,멜로/로맨스","손재곤","박용우,최강희,정경호,박준오,이광우,김권태,유주희,윤혜진,오유진,조은지,선우선,김기천,조영규","(주)싸이더스,(주)MBC씨앤아이"
"달콤한 거짓말",3122965500,471310,340,19594,2008-12-18,"CJ ENM","12세이상관람가","멜로/로맨스,코미디","정정화","김선아,박진희,조한선,이기우,김동욱,최은주,안은정,이동민,변현석,채민서,박경태,유세희,김인석,김성제,박선민,정성호,이시원,김준수,양희경,채민서,조진웅,최진호,김광규,차은재,정다빈,권태원,오연아","CJ ENM"
"달콤한 인생",7233889100,1112734,265,30664,2005-04-01,"CJ ENM","18세관람가","액션","김지운","이병헌,김영철,신민아,김뢰하,이기영,오달수,진구,정유미,허명행,손정민,김효현,양강연,홍은미,박종민,서정희,윤정섭,윤진율,정원경,박성규,박성균,전혜민,이안규,오유진,박진우,하용진,전국환,김해곤,황정민,문정혁,곽민호,이승호,이한솔","(주)영화사봄"
"당신, 거기 있어줄래요",9361708648,1168740,767,41404,2016-12-14,"롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","판타지,드라마","홍지영","김윤석,변요한,채서진,김상호,안세하,박혜수,김호정,한한나,이유미,윤진영,전준영,김효진,배유리,김성령,김지영,장광,김선아,김광규,박길수,박희본,정인기,김승희,임채영","(주)수필름"
"당신이 잠든 사이에",448246500,67659,169,5108,2008-08-14,"(주)엠플러스픽쳐스","15세이상관람가","코미디","김정민","예지원,김선영,탁재훈,김현숙,이재훈,문원주,김우석,김대희,박민호,윤인경,김형범,정석용,신이,진용욱,김지석,김기천","케이엠컬쳐㈜"
"대결",251176500,32278,366,5409,2016-09-22,"(주)스톰픽쳐스코리아,TCO(주)더콘텐츠온","15세이상관람가","액션","신동엽","이주승,오지호,이정진,신정근,손은서,임효우,박주혜,박준범,전혜인,이규희,이대겸,조훈휘,홍민혜,황진호,김철구,이세랑,주석태,강신철","휴메니테라픽쳐스(주),컴퍼니에이이엔티(주)"
