"영화명","누적매출액","누적관객수","스크린수","상영횟수","개봉일","배급사","등급","장르","감독","배우","제작사","cluster","감독_배우"
"1987",58169776145,7232387,1299,138226,"2017-12-27","(주)씨제이이엔엠","15세이상관람가","드라마","장준환","하정우","(주)우정필름",3,"하정우"
"1987",58169776145,7232387,1299,138226,"2017-12-27","(주)씨제이이엔엠","15세이상관람가","드라마","장준환","김윤석","(주)우정필름",3,"김윤석"
"1987",58169776145,7232387,1299,138226,"2017-12-27","(주)씨제이이엔엠","15세이상관람가","드라마","장준환","하정우","(주)우정필름",3,"김윤석"
"더 테러 라이브",39869706381,5584139,809,93488,"2013-07-31","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","범죄,기타","김병우","하정우","(주)씨네이천",2,"하정우"
"더 테러 라이브",39869706381,5584139,809,93488,"2013-07-31","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","범죄,기타","김병우","이경영","(주)씨네이천",2,"하정우"
"검은 사제들",42409600592,5442915,1109,131177,"2015-11-05","(주)씨제이이엔엠","15세이상관람가","미스터리,드라마","장재현","김윤석","영화사 집",2,"김병옥"
"검은 사제들",42409600592,5442915,1109,131177,"2015-11-05","(주)씨제이이엔엠","15세이상관람가","미스터리,드라마","장재현","강동원","영화사 집",2,"김병옥"
"의형제",40153817000,5416829,569,118250,"2010-02-04","(주)쇼박스","15세이상관람가","드라마,액션","장훈","송강호","(주)쇼박스,(주)다세포클럽,루비콘픽쳐스㈜",2,"송강호"
"의형제",40153817000,5416829,569,118250,"2010-02-04","(주)쇼박스","15세이상관람가","드라마,액션","장훈","강동원","(주)쇼박스,(주)다세포클럽,루비콘픽쳐스㈜",2,"송강호"
"거북이 달린다",20618276000,3024666,432,69946,"2009-06-11","(주)쇼박스","15세이상관람가","드라마,액션,범죄","이연우","김윤석","(주)씨네이천",1,"김윤석"
"거북이 달린다",20618276000,3024666,432,69946,"2009-06-11","(주)쇼박스","15세이상관람가","드라마,액션,범죄","이연우","정경호","(주)씨네이천",1,"김윤석"
