"영화명","누적관객수","매출액점유율","누적매출액","스크린수","매출액","관객수","상영횟수","개봉일","제작사","배급사","등급","장르","감독","배우"
"무서운 이야기 2",495535,0.2,3393767500,337,3393767500,495535,18511,"2013-06-05","(주)수필름","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","미스터리","김성호","박성웅"
"은밀하게 위대하게",6959083,2.8,48700887413,1341,48700887413,6959083,117462,"2013-06-05","(주)엠씨엠씨","(주)쇼박스","15세이상관람가","액션","장철수","김수현"
"꼭두각시",31713,0,227941500,134,227941500,31713,2862,"2013-06-20","골든타이드픽처스(주)","(주)인벤트스톤","청소년관람불가","공포(호러)","권영락","이종수"
"닥터",68312,0,495574500,163,495574500,68312,4131,"2013-06-20","(주)노마드필름","(주)마인스 엔터테인먼트","청소년관람불가","스릴러","김성홍","김창완"
"이별계약",18343,0,131408000,64,131408000,18343,1372,"2013-06-20","(주)씨제이이엔엠","(주)씨제이이엔엠","12세이상관람가","멜로/로맨스","오기환","펑위옌"
"더 웹툰: 예고살인",1201457,0.5,8537683070,541,8537683070,1201457,35931,"2013-06-27","(주)필마픽쳐스 ","(주)씨제이이엔엠","15세이상관람가","공포(호러)","김용균","이시영"
"맛있는 섹스 - 인연",25,0,50000,1,50000,25,5,"2013-06-27","(주)케이알씨지","(주)케이알씨지","청소년관람불가","성인물(에로)","이세일","양민영"
"감시자들",5509019,2.3,39389732679,949,39389732679,5509019,100349,"2013-07-03","영화사 집","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","범죄","조의석","설경구"
"거짓말 섹스가 좋아",35,0,55000,1,55000,35,5,"2013-07-04","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이세일","김지원"
"미스터 고",1328888,0.5,9337976000,840,9337976000,1328888,38263,"2013-07-17","(주)덱스터필름","(주)쇼박스","12세이상관람가","코미디","김용화","서교"
"전망 좋은 차- 맛있는 섹스",10,0,20000,1,20000,10,1,"2013-07-17","(주)케이알씨지","(주)케이알씨지","청소년관람불가","성인물(에로)","이세일","강세미"
"더 테러 라이브",5584295,2.3,39870954381,809,39870954381,5584295,93489,"2013-07-31","(주)씨네이천","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","범죄","김병우","하정우"
"노랑머리 - 플라스틱 섹스",900,0,1800000,1,1800000,900,6,"2013-08-01","(주)케이알씨지","(주)케이알씨지","청소년관람불가","성인물(에로)","이세일","민신애"
"설국열차",9352448,3.9,67026842200,1128,67026707200,9352433,125337,"2013-08-01","(주)모호필름","(주)씨제이이엔엠","15세이상관람가","SF","봉준호","크리스"
"은밀하게 위대하게 (확장판)",4738,0,34327500,5,34327500,4738,115,"2013-08-05","(주)엠씨엠씨","(주)쇼박스","15세이상관람가","액션","장철수","김수현"
"젊은 엄마",528,0,3168000,1,3168000,528,2,"2013-08-06","골든타이드픽처스(주)","골든타이드픽처스(주)","청소년관람불가","멜로/로맨스","공자관","이은미"
"슈퍼쇼 4 3D",2801,0,32204000,26,32204000,2801,66,"2013-08-08","(주)에스엠엔터테인먼트","(주)마인스 엔터테인먼트","전체관람가","공연","유호진","슈퍼주"
"가자, 장미여관으로",8307,0,29545500,21,29545500,8307,113,"2013-08-14","드림로드","(주)팝파트너스","청소년관람불가","멜로/로맨스","신정균","성은채"
"감기",3117859,1.3,21774884000,806,21774884000,3117859,55046,"2013-08-14","아이러브시네마","아이러브시네마","15세이상관람가","드라마","김성수","장혁"
"숨바꼭질",5604106,2.3,39602995500,779,39602995500,5604106,88064,"2013-08-14","(주)드림캡쳐","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","스릴러","허정","손현주"
"허풍",656,0,3031000,3,3031000,656,22,"2013-08-14","골든타이드픽처스(주)","골든타이드픽처스(주)","청소년관람불가","코미디","공자관","이덕재"
"아름다운 이별은 없다",200,0,1e+06,1,1e+06,200,2,"2013-08-22","(주)스넵쏘울","(주)스넵쏘울","청소년관람불가","스릴러","이상화","고수현"
"아티스트 봉만대",14188,0,93817000,131,93817000,14188,1795,"2013-08-29","골든타이드픽처스(주)","씨너스엔터테인먼트(주)","청소년관람불가","코미디","봉만대","봉만대"
"일탈여행: 프라이빗 아일랜드",3460,0,18135500,23,18135500,3460,108,"2013-08-29","(주)컨텐츠로드","(주)팝엔터테인먼트","청소년관람불가","멜로/로맨스","한상희","손은서"
"미스체인지",6054,0,42659500,41,42659500,6054,459,"2013-09-05","브런치메이트필름(주)","브릿지웍스 엔터테인먼트(주)","청소년관람불가","코미디","정초신","송재하"
"스파이",3436012,1.4,24512378305,785,24512378305,3436012,72804,"2013-09-05","(주)제이케이필름","(주)씨제이이엔엠","15세이상관람가","액션","이승준","설경구"
"관상",9135802,3.8,66009791500,1240,66009791500,9135802,125105,"2013-09-11","(주)주피터필름","(주)쇼박스","15세이상관람가","사극","한재림","송강호"
"깡철이",1209363,0.5,8572344462,707,8572344462,1209363,43102,"2013-10-02","(주)시네마서비스","(주)씨제이이엔엠","15세이상관람가","드라마","안권태","유아인"
"댄서김의 은밀한 교수법",1556,0,3112000,1,3112000,1556,14,"2013-10-02","(주)베드픽쳐스","(주)베드픽쳐스","청소년관람불가","미스터리","신혜성","김기수"
"소원",2711086,1.1,18529880600,651,18529880600,2711086,72330,"2013-10-02","(주)필름모멘텀","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","드라마","이준익","설경구"
"러브씬",805,0,3775000,4,3775000,805,20,"2013-10-03","(주)스푸키번치","골든타이드픽처스(주)","청소년관람불가","멜로/로맨스","문인대","최현호"
"소원택시",283,0,971000,2,971000,283,7,"2013-10-04","(주)마부엔터테인먼트","(주)마부엔터테인먼트","청소년관람불가","드라마","박창진","오인혜"
"화이: 괴물을 삼킨 아이",2394487,1,17695683795,817,17695683795,2394487,59051,"2013-10-09","나우필름(주)","(주)쇼박스","청소년관람불가","액션","장준환","여진구"
"롤러코스터",270156,0.1,1913111600,374,1913111600,270156,14727,"2013-10-17","(주)판타지오픽쳐스","(주)씨제이이엔엠","15세이상관람가","코미디","하정우","정경호"
"바캉스",5051,0,14674000,21,14674000,5051,38,"2013-10-17","(주)유비네트워크","(주)유비네트워크","청소년관람불가","스릴러","박선욱","유사라"
"밤의 여왕",252475,0.1,1762892500,333,1762892500,252475,13286,"2013-10-17","(주)영화사아이비젼","(주)인벤트스톤","15세이상관람가","멜로/로맨스","김제영","천정명"
"공범",1766285,0.7,12333110882,611,12333110882,1766285,51425,"2013-10-24","선샤인필름(주)","(주)씨제이이엔엠","15세이상관람가","스릴러","국동석","손예진"
"배우는 배우다",112029,0,811844000,297,811844000,112029,9267,"2013-10-24","(주) 루스이소니도스","(주)넥스트엔터테인먼트월드(NEW)","청소년관람불가","드라마","신연식","이준"
"사육-내안에 가둔 그녀",440,0,2220000,5,2220000,440,27,"2013-10-24","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이세일","유세미"
"톱스타",175153,0.1,1194185500,397,1194185500,175153,12218,"2013-10-24","영화사 문(주)","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","드라마","박중훈","엄태웅"
"노브레싱",451669,0.2,2991824739,584,2991824739,451669,24912,"2013-10-30","(주)영화사유랑","(주)나이너스엔터테인먼트","15세이상관람가","드라마","조용선","서인국"
"연애의 기술",8923,0,64887000,63,64887000,8923,1191,"2013-10-30","㈜리필름","(주)팝엔터테인먼트","청소년관람불가","멜로/로맨스","이수성","홍수아"
"응징자",192347,0.1,1388412500,305,1388412500,192347,12023,"2013-10-30","(주)엔브릭스","(주)인벤트스톤","청소년관람불가","액션","신동엽","양동근"
"맛있는 사랑공식-섹스",5460,0,8e+06,5,8e+06,5460,43,"2013-10-31","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이세일","이진아"
"원 오브 어 카인드 3D ; G-DRAGON 2013 1ST WORLD TOUR",8083,0,91107500,39,91107500,8083,333,"2013-10-31","케이비에스미디어(주)","골든타이드픽처스(주)","전체관람가","공연","손석","권지용"
"동창생",1048280,0.4,7010197126,660,7010197126,1048280,36401,"2013-11-06","더램프(주)","(주)쇼박스","15세이상관람가","액션","박홍수","최승현"
"더 파이브",731212,0.3,5343797000,501,5343797000,731212,27308,"2013-11-14","(주)시네마서비스","(주)씨제이이엔엠","청소년관람불가","스릴러","정연식","김선아"
"친구 2",2971475,1.3,21804687513,968,21804687513,2971475,69865,"2013-11-14","(주)트리니티엔터테인먼트","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","액션","곽경택","유오성"
"결혼전야",1214839,0.5,8444355719,524,8444355719,1214839,38846,"2013-11-21","(주)수필름","씨너스엔터테인먼트(주)","15세이상관람가","멜로/로맨스","홍지영","김강우"
"롤플레이2 : 동침",330,0,1400000,2,1400000,330,8,"2013-11-21","골든타이드픽처스(주)","골든타이드픽처스(주)","청소년관람불가","미스터리","이광호","권혁풍"
"완전 소중한 사랑",20303,0,129614500,66,129614500,20303,1445,"2013-11-21","(주)옐로우래빗","주식회사 마운틴픽쳐스","12세이상관람가","드라마","김진민","심이영"
"전망 좋은 하우스 - 관음적 욕망",5390,0,3710000,4,3710000,5390,41,"2013-11-21","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","진달래","강지선"
"고양이 소녀",1,0,8000,1,8000,1,1,"2013-11-28","영화사시작","골든타이드픽처스(주)","청소년관람불가","멜로/로맨스","최경진","이수완"
"붉은 바캉스 검은 웨딩 2",5100,0,10500000,20,10500000,5100,74,"2013-11-28","필름라인","(주)팝파트너스","청소년관람불가","스릴러","최낙권","김재록"
"열한시",870785,0.4,6097792000,512,6097792000,870785,32536,"2013-11-28","(주)파레토웍스","(주)씨제이이엔엠","15세이상관람가","스릴러","김현석","정재영"
"창수",429141,0.2,3146542000,415,3146542000,429141,19471,"2013-11-28","영화사 아람(주)","(주)마인스 엔터테인먼트","청소년관람불가","드라마","이덕희","임창정"
"화려한 외출",5067,0,13547000,20,13547000,5067,34,"2013-12-05","(주)레몬트리픽쳐스","(주)영화사폴","청소년관람불가","드라마","고경아","김선영"
"집으로 가는 길",1854711,0.7,13049026745,740,13049026745,1854711,42896,"2013-12-11","(주)씨제이이엔엠","(주)씨제이이엔엠","15세이상관람가","드라마","방은진","전도연"
"비밀의 화방",5530,0,4130000,5,4130000,5530,38,"2013-12-12","(주)케이알씨지","(주)케이알씨지","청소년관람불가","드라마","진달래","주혜리"
"변호인",11375123,2.6,82874748788,925,82874624800,11375103,152281,"2013-12-18","위더스필름(주)","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","드라마","양우석","송강호"
"캐치미",494126,0.2,3396292000,517,3396292000,494126,16864,"2013-12-18","(주)소넷엔터테인먼트","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","코미디","이현종","김아중"
"미녀전쟁",631,0,2905000,4,2905000,631,16,"2013-12-19","골든타이드픽처스(주)","골든타이드픽처스(주)","청소년관람불가","코미디","임진승","황선화"
"거짓말 섹스가 좋아2",4490,0,2980000,5,2980000,4490,30,"2013-12-24","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","진달래","강수지"
"용의자",4131338,0.9,30037521000,807,30037521000,4131338,69124,"2013-12-24","(주)그린피쉬","(주)쇼박스","15세이상관람가","액션","원신연","공유"
"몽정애-꿈 속의 여인",250,0,1e+06,5,1e+06,250,14,"2013-12-31","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이영화","이민우"
"플랜맨",635740,0.3,4547866558,458,4547866558,635740,20481,"2014-01-09","(주)영화사일취월장","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","드라마","성시흡","정재영"
"맛",5057,0,14002000,19,14002000,5057,40,"2014-01-16","(주)스크린다","(주)스크린다","청소년관람불가","멜로/로맨스","경석호","정현우"
"한 번도 안 해본 여자",9732,0,72481500,66,72481500,9732,753,"2014-01-16","(주)무비포지","(주)팝엔터테인먼트","청소년관람불가","멜로/로맨스","안철호","황우슬"
"남자가 사랑할 때",1980120,0.9,14515968300,531,14510362300,1979381,41124,"2014-01-22","(주)사나이픽처스","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","멜로/로맨스","한동욱","황정민"
"수상한 그녀",8660623,3.8,62720514849,1027,62715448849,8659698,136999,"2014-01-22","(주)예인플러스엔터테인먼트","(주)씨제이이엔엠","15세이상관람가","드라마","황동혁","심은경"
"피끓는 청춘",1676040,0.7,11688382888,679,11688382888,1676040,36082,"2014-01-22","(주)담소필름","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디","이연우","박보영"
"넛잡: 땅콩 도둑들",479168,0.2,3284391800,382,3284391800,479168,10818,"2014-01-29","(주)레드로버","(주)싸이더스","전체관람가","애니메이션","피터 레페니오티스","윌 아"
"조선미녀삼총사",480361,0.2,3471341321,388,3471341321,480361,14031,"2014-01-29","(주)웰메이드필름","(주)쇼박스","12세이상관람가","코미디","박제현","하지원"
"또 하나의 약속",498670,0.2,3541402400,192,3541402400,498670,14853,"2014-02-06","(주)또하나의가족 제작위원회","영화사올(주)","12세이상관람가","드라마","김태윤","우혜영"
"관능의 법칙",781516,0.4,5858771500,591,5858771500,781516,30630,"2014-02-13","(주)명필름","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","드라마","권칠인","엄정화"
"비밀과외",1590,0,2485000,5,2485000,1590,20,"2014-02-13","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","미스터 엘","조동혁"
"전망 좋은 하우스 - 맛있는 섹스",940,0,1160000,5,1160000,940,19,"2014-02-20","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","미스터 엘","윤보리"
"찌라시: 위험한 소문",1221427,0.6,9111748087,560,9111748087,1221427,37426,"2014-02-20","(주)영화사수박","(주)씨제이이엔엠","15세이상관람가","범죄","김광식","김강우"
"여배우는 너무해",2673,0,19836400,42,19836400,2673,451,"2014-02-27","골든타이드픽처스(주)","(주)인벤트스톤","청소년관람불가","멜로/로맨스","유정환","차예련"
"나가요 미스콜",338,0,2018000,4,2018000,338,5,"2014-03-13","스카이동","노바엔터테인먼트","청소년관람불가","멜로/로맨스","한동호","한규리"
"몬스터",526557,0.3,4138207515,527,4138207515,526557,25460,"2014-03-13","상상필름(주)","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","스릴러","황인호","이민기"
"우아한 거짓말",1619983,0.7,11732979300,573,11731035300,1619659,57497,"2014-03-13","(주)유비유필름","CGV아트하우스","12세이상관람가","드라마","이한","김희애"
"화창한 그날들",310,0,2030000,2,2030000,310,4,"2014-03-14","비에이치제이 시네마","(주)씨네로닷컴","청소년관람불가","스릴러","방현준","김동하"
"두 아내",9814,0,8695000,21,8695000,9814,79,"2014-03-17","(유)조이앤컨텐츠그룹","(유)조이앤컨텐츠그룹","청소년관람불가","멜로/로맨스","이숭환","박유미"
"불륜의 맛",494,0,1950000,5,1950000,494,23,"2014-03-27","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이세일","김지원"
"스케치",1483,0,10690500,22,10690500,1483,149,"2014-03-27","(주)어나더스타","브릿지웍스 엔터테인먼트(주)","청소년관람불가","멜로/로맨스","이혁종","고은아"
"청춘학당 : 풍기문란 보쌈 야사",3772,0,26637900,57,26637900,3772,626,"2014-03-27","(주)영화사히트","(주)박수엔터테인먼트","청소년관람불가","멜로/로맨스","도창훈","이태리"
"백프로",37909,0,284106600,236,284106600,37909,4915,"2014-04-03","(주)시네마제니스","(주)마인스 엔터테인먼트","15세이상관람가","코미디","김명균","윤시윤"
"가시",142170,0.1,1095301000,356,1095301000,142170,11622,"2014-04-10","(주)캠프비","(주)인벤트스톤","청소년관람불가","멜로/로맨스","김태균","장혁"
"가자! 장미여관으로 2 - 갈증",3534,0,14471000,20,14471000,3534,91,"2014-04-10","드림로드","(주)에이블엔터테인먼트","청소년관람불가","멜로/로맨스","김봉은","황정아"
"녀녀녀",1694,0,8231000,20,8231000,1694,34,"2014-04-10","골든타이드픽처스(주)","골든타이드픽처스(주)","청소년관람불가","멜로/로맨스","한승림","신주아"
"방황하는 칼날",989906,0.5,7828891800,594,7828891800,989906,38850,"2014-04-10","(주)에코필름","(주)씨제이이엔엠","청소년관람불가","범죄","이정호","이진성"
"은밀하게 음란하게",372,0,1160000,5,1160000,372,24,"2014-04-10","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이세일","백세리"
"러브멘토",54,0,270000,1,270000,54,1,"2014-04-17","스카이동","(주)나우콘텐츠","청소년관람불가","멜로/로맨스","신혜성","유재근"
"메이크 유어 무브",9368,0,73741600,96,73741600,9368,1467,"2014-04-17","(주)씨제이이엔엠","(주)씨제이이엔엠","12세이상관람가","멜로/로맨스","듀안 아들러","보아"
"의궤, 8일간의 축제 3D",7956,0,45334000,18,45334000,7956,470,"2014-04-17","케이비에스미디어(주)","케이비에스미디어(주)","전체관람가","다큐멘터리","최필곤","여진구"
"역린",3849700,1.8,29895031890,1054,29894266890,3849552,83301,"2014-04-30","굿초이스컷픽쳐스(주)","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","사극","이재규","현빈"
"표적",2841884,1.4,22256881300,716,22256881300,2841884,72256,"2014-04-30","(주)바른손이앤에이","(주)씨제이이엔엠","15세이상관람가","액션","창","류승룡"
"인간중독",1441973,0.7,11284912400,682,11284912400,1441973,44057,"2014-05-14","(주)아이언팩키지","(주)넥스트엔터테인먼트월드(NEW)","청소년관람불가","멜로/로맨스","김대우","송승헌"
"캠퍼스 S 커플",891,0,6440000,1,6440000,891,32,"2014-05-15","(주)레알컴퍼니","(주)액티버스엔터테인먼트","청소년관람불가","멜로/로맨스","송창용","최필립"
"고스트 메신저 극장판",23802,0,184194000,81,184194000,23802,1211,"2014-05-22","(주)스튜디오 애니멀","에이원엔터테인먼트","12세이상관람가","애니메이션","구봉회","양정화"
"끝까지 간다",3450305,1.6,27007303900,645,27007303900,3450305,84876,"2014-05-29","(주)에이디사공육","(주)쇼박스","15세이상관람가","액션","김성훈","이선균"
"무명인",3199,0,25063600,51,25063600,3199,568,"2014-05-29","(주)아폴론엔터테인먼트","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","미스터리","김성수","니시지"
"젊은 엄마 2",1,0,8000,1,8000,1,1,"2014-05-29","골든타이드픽처스(주)","골든타이드픽처스(주)","청소년관람불가","드라마","노성수","차순형"
"하이힐",341634,0.2,2750311500,385,2750311500,341634,16750,"2014-06-03","(주)장차앤코","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","범죄","장진","차승원"
"스퀴시랜드",5473,0,38111300,55,38111300,5473,443,"2014-06-04","팔레드시네마(주)","(주)인벤트스톤","전체관람가","애니메이션","김태익","배정미"
"우는 남자",603495,0.3,4924852800,508,4924852800,603495,22322,"2014-06-04","다이스필름(주)","(주)씨제이이엔엠","청소년관람불가","액션","이정범","장동건"
"황제를 위하여",592435,0.3,4754501771,423,4754501771,592435,26736,"2014-06-11","오퍼스픽쳐스(유)","유나이티드픽처스(주)","청소년관람불가","액션","박상준","장한새"
"여배우 공작단",2729,0,15839000,21,15839000,2729,59,"2014-06-19","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","전태윤","허동원"
"소녀괴담",481696,0.2,3554806054,455,3554806054,481696,19432,"2014-07-02","(주)고스트픽처스","(주)리틀빅픽쳐스","15세이상관람가","미스터리","오인천","강하늘"
"신의 한 수",3566852,1.8,28812027456,794,28812027456,3566852,77110,"2014-07-03","(주)메이스엔터테인먼트","(주)쇼박스","청소년관람불가","범죄","조범구","정우성"
"그 참을 수 없는 맛",1697,0,8138000,21,8138000,1697,43,"2014-07-09","(주)케이알씨지","(주)케이알씨지","청소년관람불가","드라마","이지형","조문주"
"나는 야한 여자가 좋다",1688,0,8095000,21,8095000,1688,42,"2014-07-10","드림로드","(주)케이알씨지","청소년관람불가","멜로/로맨스","신정균","김태한"
"중독애",1547,0,7495000,20,7495000,1547,41,"2014-07-16","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","한소준","김소라"
"군도: 민란의 시대",4775441,2.3,36989711499,1394,36989711499,4775441,67252,"2014-07-23","(주)영화사 월광","(주)쇼박스","15세이상관람가","사극","윤종빈","하정우"
"열애",1564,0,7470000,20,7470000,1564,40,"2014-07-23","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이숭환","정민"
"밀애",4770,0,16206000,19,16206000,4770,44,"2014-07-24","펀펀한영화사","(주)레몬트리픽쳐스","청소년관람불가","드라마","김인규","유라성"
"명량",17615658,8.3,135757221810,1587,135756636810,17615545,188702,"2014-07-30","(주)빅스톤픽쳐스","(주)씨제이이엔엠","15세이상관람가","사극","김한민","최민식"
"떡",1225,0,5854000,21,5854000,1225,33,"2014-08-06","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이영인","추선"
"해적: 바다로 간 산적",8666208,4,66372140706,910,66372140706,8666208,133354,"2014-08-06","(주)하리마오픽쳐스","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","어드벤처","이석훈","김남길"
"극장판 뛰뛰빵빵 구조대 미션: 둥둥이를 구하라!",21939,0,144062800,91,144062800,21939,954,"2014-08-07","(주)빅스크리에이티브","메가박스중앙(주)플러스엠","전체관람가","애니메이션","방형우","양정화"
"원죄적 정사 2014",54,0,270000,1,270000,54,1,"2014-08-13","주식회사 이엔터","주식회사 이엔터","청소년관람불가","멜로/로맨스","소팔석","이리나"
"해무(海霧)",1475582,0.7,11707382519,584,11707382519,1475582,33491,"2014-08-13","(주)해무","(주)넥스트엔터테인먼트월드(NEW)","청소년관람불가","드라마","심성보","김윤석"
"야누스: 욕망의 두 얼굴",4122,0,20193000,20,20193000,4122,85,"2014-08-14","(주)패스파인더씨앤씨","(주)미디어데이","청소년관람불가","미스터리","손영호","오인혜"
"터널 3D",80989,0,620874000,264,620874000,80989,5076,"2014-08-20","(주)필마픽쳐스 ","(주)박수엔터테인먼트","15세이상관람가","공포(호러)","박규택","정유미"
"옹녀뎐",3765,0,10197000,21,10197000,3765,34,"2014-08-21","영화사 인연","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","경석호","신유주"
"관계",2146,0,10652000,19,10652000,2146,47,"2014-08-27","브릿지웍스 엔터테인먼트(주)","브릿지웍스 엔터테인먼트(주)","청소년관람불가","멜로/로맨스","김명서","토모다"
"픽업 아티스트",1,0,8000,1,8000,1,1,"2014-08-28","자작나무영화사","골든타이드픽처스(주)","청소년관람불가","코미디","전도한","김대우"
"두근두근 내 인생",1624601,0.7,12291081634,629,12291081634,1624601,40158,"2014-09-03","영화사 집","(주)씨제이이엔엠","12세이상관람가","드라마","이재용","김승욱"
"타짜-신의 손",4015361,2,32373120927,890,32373120927,4015361,80584,"2014-09-03","(주)싸이더스","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","드라마","강형철","최승현"
"레쓰링",2116,0,16073000,33,16073000,2116,382,"2014-09-11","아일랜드픽처스(주)","(주)박수엔터테인먼트","청소년관람불가","코미디","김호준","최성국"
"먹이사슬",2070,0,10224000,20,10224000,2070,46,"2014-09-17","주식회사 비엠미디어","노바엔터테인먼트","청소년관람불가","멜로/로맨스","한동호","윤설희"
"위험한 유혹 - 추억이 떠나면 외로움만 남는다",1227,0,5481000,20,5481000,1227,30,"2014-09-17","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이상화","추선"
"1789, 바스티유의 연인들",4078,0,69354500,35,69354500,4078,436,"2014-09-18","(주)패뷸러스","유니버설픽쳐스인터내셔널 코리아(유)","전체관람가","뮤지컬","정성복","루이 "
"설계",45726,0,347980800,257,347980800,45726,5465,"2014-09-18","(주)율","(주)팝엔터테인먼트","청소년관람불가","스릴러","박창진","오상철"
"욕망의 독: 중독",988,0,6135000,20,6135000,988,31,"2014-09-25","(주)매니아22","어뮤즈","청소년관람불가","스릴러","윤여창","홍경인"
"나는 야한 여자가 좋다 2",1248,0,5507000,20,5507000,1248,36,"2014-10-01","드림로드","(주)케이알씨지","청소년관람불가","멜로/로맨스","김봉은","배건식"
"마담 뺑덕",471172,0.2,3728980590,536,3728980590,471172,21636,"2014-10-02","(주)영화사동물의왕국","(주)씨제이이엔엠","청소년관람불가","멜로/로맨스","임필성","정우성"
"슬로우 비디오",1169562,0.5,8913092219,618,8913092219,1169562,40665,"2014-10-02","이십세기폭스 인터내셔널 프로덕션","이십세기폭스코리아(주)","12세이상관람가","드라마","김영탁","차태현"
"정글히어로",72047,0,511579300,287,511579300,72047,2825,"2014-10-02","원더월드 스튜디오","(주)씨제이이엔엠","전체관람가","애니메이션","박태동","심규혁"
"제보자",1755181,0.8,13515762802,676,13515762802,1755181,58358,"2014-10-02","(주)영화사수박","메가박스중앙(주)플러스엠","12세이상관람가","드라마","임순례","박해일"
"가자! 장미여관으로 3 - 방황",1529,0,7183000,20,7183000,1529,50,"2014-10-08","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","김봉은","서연주"
"나의 사랑 나의 신부",2141155,1,16636404305,629,16636404305,2141155,69684,"2014-10-08","(주)필름모멘텀","씨네그루(주)다우기술","15세이상관람가","멜로/로맨스","임찬상","조정석"
"맨홀",133663,0.1,1084557130,286,1084557130,133663,10324,"2014-10-08","(주)화인웍스","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","공포(호러)","신재영","정경호"
"사토미를 찾아라",2595,0,13164000,20,13164000,2595,56,"2014-10-16","(주)어나더스타","브릿지웍스 엔터테인먼트(주)","청소년관람불가","코미디","NEW PISTOL","사토미"
"거짓말 2014",1058,0,4751000,19,4751000,1058,35,"2014-10-22","(주)케이알씨지","(유)조이앤컨텐츠그룹","청소년관람불가","멜로/로맨스","이민환","윤설희"
"레드카펫",316953,0.1,2405669580,385,2405669580,316953,17696,"2014-10-23","씨네주(유)","(주)프레인글로벌","15세이상관람가","멜로/로맨스","박범수","윤계상"
"우리는 형제입니다",970373,0.4,7263255399,566,7263255399,970373,41638,"2014-10-23","필름있수다","(주)쇼박스","12세이상관람가","코미디","장진","김성균"
"위층여자",3739,0,18962000,20,18962000,3739,82,"2014-10-29","RGB","노바엔터테인먼트","청소년관람불가","멜로/로맨스","이찬욱","서유리"
"나의 독재자",386072,0.2,2907311546,654,2907311546,386072,24221,"2014-10-30","반짝반짝영화사(주)","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","드라마","이해준","설경구"
"정사",2283,0,6761000,20,6761000,2283,35,"2014-10-30","펀펀한영화사","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","김정환","류성현"
"환상",987,0,4693000,19,4693000,987,33,"2014-10-30","(주)케이알씨지","(유)조이앤컨텐츠그룹","청소년관람불가","멜로/로맨스","이숭환","박재훈"
"패션왕",594871,0.3,4367545379,523,4367545379,594871,25487,"2014-11-06","주식회사 와이랩","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디","오기환","김다율"
"힐링메이트",130,0,1106000,1,1106000,130,8,"2014-11-12","(주)스크린다","(주)버킷스튜디오","청소년관람불가","드라마","신종걸","이유리"
"카트",814676,0.4,5929808133,544,5928870633,814530,28596,"2014-11-13","(주)명필름","(주)리틀빅픽쳐스","12세이상관람가","드라마","부지영","염정아"
"아빠를 빌려드립니다",172652,0.1,1190329500,326,1190329500,172652,8457,"2014-11-20","(주)이스트스카이필름","메가박스중앙(주)플러스엠","12세이상관람가","코미디","김덕수","김상경"
"마이너클럽",130,0,1170000,1,1170000,130,7,"2014-11-25","(주)영화사얼굴","(주)버킷스튜디오","청소년관람불가","멜로/로맨스","이원우","서영"
